Kalimat #,text
50,theme
50,the
50,place
50,was
50,also
50,serene
50,with
50,natural
50,sunlight
50,and
50,morning
50,bandung
50,breeze
50,it
50,was
50,a
50,perfect
50,place
50,to
50,relax
50,in
50,the
50,morning
50,ordered
50,beef
50,sandwich
50,which
50,is
50,one
50,of
50,their
50,signature
50,sandwiches
50,that
50,consist
50,of
50,freshly
50,baked
50,bread
50,filled
50,with
50,beef
50,meat
50,lettuce
50,sliced
50,tomato
50,sliced
50,onions
50,and
50,cranberries
50,this
50,beef
50,sandwich
50,is
50,amazing
50,the
50,bread
50,was
50,freshly
50,baked
50,so
50,the
50,crust
50,was
50,perfect
50,and
50,the
50,texture
50,was
50,good
50,the
50,beef
50,filling
50,was
50,also
50,tender
50,juicy
50,and
50,matched
50,so
50,well
50,with
50,the
50,freshness
50,of
50,the
50,vegetables
50,and
50,cranberries
50,the
50,service
50,was
50,also
50,good
50,fast
50,friendly
50,and
50,informative
50,very
50,very
50,recommended
51,they
51,have
51,a
51,wide
51,variety
51,of
51,healthy
51,baked
51,goods
51,and
51,even
51,offered
51,quite
51,a
51,lot
51,of
51,vegan
51,sandwiches
51,available
51,the
51,food
51,were
51,amazingly
51,delicious
51,and
51,creative
51,like
51,these
51,portobello
51,cranberry
51,sandwich
51,and
51,vegan
51,maca
51,ball
51,i
51,also
51,ordered
51,some
51,ciabatta
51,to
51,take
51,away
51,for
51,breakfast
51,staffs
51,were
51,so
51,helpful
51,on
51,explaining
51,which
51,ones
51,are
51,vegan
51,and
51,not
51,but
51,i
51,really
51,wish
51,they
51,would
51,expand
51,their
51,bakery
51,because
51,it
51,was
51,a
51,little
51,crowded
51,especially
51,during
51,breakfast
51,so
51,i
51,had
51,to
51,wait
51,a
51,little
51,longer
51,for
51,my
51,morning
51,coffee
52,best
52,healthy
52,bakery
52,ever
52,hand’s
52,down
53,tempat
53,parkirnya
53,kecil
53,cafenya
53,nggak
53,bermusik
53,jd
53,suasananya
53,kurang
53,hidup
53,makanannya
53,overall
53,enak
53,aku
53,order
53,chicken
53,wings
53,dan
53,lavacake
53,lava
53,cakenya
53,the
53,best
53,sih
53,kalo
53,mau
53,duduk
53,di
53,dalam
53,kolam
53,kusaranin
53,pake
53,sandal
53,deh
53,biar
53,ga
53,repot
53,tmptnya
53,adem
53,sayang
53,bangkunya
53,agak
53,keras
53,aja
53,overall
53,is
53,good
54,went
54,here
54,for
54,dinner
54,with
54,my
54,family
54,2
54,weeks
54,ago
54,i
54,ordered
54,wild
54,mushroom
54,soup
54,and
